zip_code,zone,city,state,latitude,longitude
00705,12b,AIBONITO,PR,18.14,-66.26
00610,12b,ANASCO,PR,18.28,-67.14
00612,12b,ARECIBO,PR,18.45,-66.73
00601,11b,ADJUNTAS,PR,18.16,-66.72
00602,12b,AGUADA,PR,18.38,-67.18
00603,13a,AGUADILLA,PR,18.43,-67.15
00703,12b,"AGUAS BUENAS",PR,18.25,-66.1
00704,13a,AGUIRRE,PR,17.96,-66.22
07675,7a,WESTWOOD,NJ,40.98,-74.03
07677,7a,"WOODCLIFF LAKE",NJ,41.02,-74.05
07885,6a,WHARTON,NJ,40.89,-74.58
07981,6b,WHIPPANY,NJ,40.82,-74.41
07999,6b,WHIPPANY,NJ,40.82,-74.41
08889,6b,"WHITEHOUSE STATION",NJ,40.6,-74.76
07095,7a,WOODBRIDGE,NJ,40.55,-74.28
07481,6b,WYCKOFF,NJ,40.99,-74.16
10451,7b,BRONX,NY,40.84,-73.87
10452,7b,BRONX,NY,40.84,-73.87
10453,7a,BRONX,NY,40.84,-73.87
10454,7b,BRONX,NY,40.84,-73.87
10455,7b,BRONX,NY,40.84,-73.87
10456,7b,BRONX,NY,40.84,-73.87
10457,7a,BRONX,NY,40.84,-73.87
10458,7a,BRONX,NY,40.84,-73.87
10459,7b,BRONX,NY,40.84,-73.87
10460,7a,BRONX,NY,40.84,-73.87
10461,7b,BRONX,NY,40.84,-73.87
10462,7b,BRONX,NY,40.84,-73.87
10463,7a,BRONX,NY,40.84,-73.87
10464,7a,BRONX,NY,40.84,-73.87
10465,7b,BRONX,NY,40.84,-73.87
10466,7a,BRONX,NY,40.84,-73.87
10467,7a,BRONX,NY,40.84,-73.87
10468,7a,BRONX,NY,40.84,-73.87
10469,7a,BRONX,NY,40.84,-73.87
10470,7a,BRONX,NY,40.84,-73.87
10471,7a,BRONX,NY,40.84,-73.87
10472,7b,BRONX,NY,40.84,-73.87
10473,7b,BRONX,NY,40.84,-73.87
10474,7b,BRONX,NY,40.84,-73.87
10475,7a,BRONX,NY,40.84,-73.87
10001,7b,"NEW YORK",NY,40.71,-73.99
10002,7b,"NEW YORK",NY,40.71,-73.99
10003,7b,"NEW YORK",NY,40.71,-73.99
10004,7b,"NEW YORK",NY,40.71,-73.99
10005,7b,"NEW YORK",NY,40.71,-73.99
10006,7b,"NEW YORK",NY,40.71,-73.99
10007,7b,"NEW YORK",NY,40.71,-73.99
10009,7b,"NEW YORK",NY,40.71,-73.99
10010,7b,"NEW YORK",NY,40.71,-73.99
10011,7b,"NEW YORK",NY,40.71,-73.99
10012,7b,"NEW YORK",NY,40.71,-73.99
10013,7b,"NEW YORK",NY,40.71,-73.99
10014,7b,"NEW YORK",NY,40.71,-73.99
10016,7b,"NEW YORK",NY,40.71,-73.99
10017,7b,"NEW YORK",NY,40.71,-73.99
