Zip;City;State;Latitude;Longitude;Timezone;Daylight savings time flag;geopoint
55795;Willow River;MN;46.317812;-92.84315;-6;1;46.317812,-92.84315
45388;Yorkshire;OH;40.328535;-84.47938;-5;1;40.328535,-84.47938
39483;Foxworth;MS;31.218509;-89.90761;-6;1;31.218509,-89.90761
31503;Waycross;GA;31.205194;-82.37534;-5;1;31.205194,-82.37534
45833;Delphos;OH;40.841409;-84.34178;-5;1;40.841409,-84.34178
34611;Spring Hill;FL;28.564167;-82.416515;-5;1;28.564167,-82.416515
95717;Gold Run;CA;39.177026;-120.8451;-8;1;39.177026,-120.8451
98849;Riverside;WA;48.528793;-119.45276;-8;1;48.528793,-119.45276
36201;Anniston;AL;33.658803;-85.85178;-6;1;33.658803,-85.85178
80126;Littleton;CO;39.544549;-104.96808;-7;1;39.544549,-104.96808
48907;Lansing;MI;42.596071;-84.838206;-5;1;42.596071,-84.838206
85228;Coolidge;AZ;32.967829;-111.52617;-7;0;32.967829,-111.52617
13758;East Pharsalia;NY;42.583518;-75.721931;-5;1;42.583518,-75.721931
76061;Lillian;TX;32.502674;-97.16347;-6;1;32.502674,-97.16347
05448;East Fairfield;VT;44.751801;-72.88247;-5;1;44.751801,-72.88247
94564;Pinole;CA;37.997509;-122.29208;-8;1;37.997509,-122.29208
07452;Glen Rock;NJ;40.961109;-74.12576;-5;1;40.961109,-74.12576
89409;Gabbs;NV;38.872139;-117.78194;-8;1;38.872139,-117.78194
25044;Clear Creek;WV;37.90907;-81.35066;-5;1;37.90907,-81.35066
78789;Austin;TX;30.326374;-97.771258;-6;1;30.326374,-97.771258
20134;Purcellville;VA;39.152187;-77.702576;-5;1;39.152187,-77.702576
23071;Hartfield;VA;37.533471;-76.4609;-5;1;37.533471,-76.4609
56570;Osage;MN;46.895156;-95.36174;-6;1;46.895156,-95.36174
57055;Renner;SD;43.668009;-96.73032;-6;1;43.668009,-96.73032
11757;Lindenhurst;NY;40.690049;-73.37442;-5;1;40.690049,-73.37442
66758;Neosho Falls;KS;38.005429;-95.56976;-6;1;38.005429,-95.56976
59318;Brusett;MT;47.426998;-107.44215;-7;1;47.426998,-107.44215
68784;Wakefield;NE;42.242742;-96.87191;-6;1;42.242742,-96.87191
61475;Sciota;IL;40.581413;-90.7612;-6;1;40.581413,-90.7612
59911;Bigfork;MT;47.952716;-113.96215;-7;1;47.952716,-113.96215
32886;Orlando;FL;28.566338000000002;-81.260818;-5;1;28.566338,-81.260818
55092;Wyoming;MN;45.329115;-93.06834;-6;1;45.329115,-93.06834
35565;Haleyville;AL;34.225425;-87.6118;-6;1;34.225425,-87.6118
64843;Goodman;MO;36.734769;-94.42691;-6;1;36.734769,-94.42691
65692;Koshkonong;MO;36.602467;-91.64615;-6;1;36.602467,-91.64615
42759;Marrowbone;KY;36.824961;-85.50481;-6;1;36.824961,-85.50481
76102;Fort Worth;TX;32.75388;-97.32987;-6;1;32.75388,-97.32987
46741;Grabill;IN;41.202549;-84.93811;-5;0;41.202549,-84.93811
71340;Harrisonburg;LA;31.765818;-91.82382;-6;1;31.765818,-91.82382
49505;Grand Rapids;MI;43.000076;-85.64785;-5;1;43.000076,-85.64785
28800;Asheville;NC;35.564734;-82.597992;-5;1;35.564734,-82.597992
22159;Springfield;VA;38.831813;-77.288755;-5;1;38.831813,-77.288755
72116;North Little Rock;AR;34.799541;-92.24764;-6;1;34.799541,-92.24764
25003;Alum Creek;WV;38.254483;-81.79045;-5;1;38.254483,-81.79045
72660;Oak Grove;AR;36.492129;-93.3744;-6;1;36.492129,-93.3744
91605;North Hollywood;CA;34.208142;-118.4011;-8;1;34.208142,-118.4011
91102;Pasadena;CA;33.786594;-118.298662;-8;1;33.786594,-118.298662
83537;Kendrick;ID;46.635799;-116.54146;-8;1;46.635799,-116.54146
83861;Saint Maries;ID;47.274904;-116.57392;-8;1;47.274904,-116.57392
99523;Anchorage;AK;61.108864;-149.440311;-9;1;61.108864,-149.440311
87527;Dixon;NM;36.1566;-105.84161;-7;1;36.1566,-105.84161
06807;Cos Cob;CT;41.047627;-73.59508;-5;1;41.047627,-73.59508
95019;Freedom;CA;36.935552;-121.77972;-8;1;36.935552,-121.77972
99524;Anchorage;AK;61.108864;-149.440311;-9;1;61.108864,-149.440311
04779;Sinclair;ME;47.165256;-68.27288;-5;1;47.165256,-68.27288
96728;Honomu;HI;19.866007;-155.12172;-10;0;19.866007,-155.12172
05838;East Saint Johnsbury;VT;44.468494;-71.930077;-5;1;44.468494,-71.930077
